Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
DH Hill,DH,Hill Library,2,Broughton Dr.,35.78757682,-78.66988525,FRR24def1e4000000016,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,24,RTueWaste1,22,RWedWaste1,19,RThrWaste1,65,RFriWaste2,33,,,,,,,,,,,,,,,,,,
DH Hill,DH,Hill Library,2,Broughton Dr.,35.78757682,-78.66988525,0000FRR2266904e4b0000006,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,25,RTueWaste1,61,RWedWaste1,19,RThrWaste1,29,RFriWaste2,71,RSatWaste2,47,,,,,,,,,,,,,,,,
DH Hill,DH,Hill Library,2,Broughton Dr.,35.78757682,-78.66988525,FRR24ddd199660000002,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,45,RTueWaste1,62,RWedWaste1,20,RThrWaste1,30,RFriWaste2,76,RSatWaste2,49,,,,,,,,,,,,,,,,
DH Hill,DH,Hill Library,2,Broughton Dr.,35.78757682,-78.66988525,FRR24def1e4000000017,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,46,RTueWaste1,58,RWedWaste1,20,RThrWaste1,64,RFriWaste2,77,,,,,,,,,,,,,,,,,,
Doak Athletic Center,Doak, Athletic Center,1081,Varsity Dr.,35.78749302,-78.67976112,0000FRR22472082800000052,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedWaste1,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Doak Athletic Center,Doak, Athletic Center,1081,Varsity Dr.,35.78749302,-78.67976112,0000FRR22478062930000088,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,47,,,,,,,,,,,,,,,,,,,,,,,,,,
Don E Ellis Building,Don, E Ellis Building,1320,Varsity Dr.,35.78147435,-78.68466397,0000FRR22472082800000053,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Early College High School,Early,College High School,715,Barbour Dr.,35.77177872,-78.66631165,0000FRR2247806292000004b,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RWedMR1,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Early College High School,Early,College High School,715,Barbour Dr.,35.77177872,-78.66631165,0000FRR2266903e4b0000004,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,59,RFriWaste2,11,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Building I,Engineering,Building I,911,Partners Way,35.7716252,-78.67512817,0000FRR224720827f0000032,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Building I,Engineering,Building I,911,Partners Way,35.7716252,-78.67512817,0000FRR224720827f0000031,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,22,RWedWaste1,67,RFriWaste2,28,,,,,,,,,,,,,,,,,,,,,,
Engineering Building I,Engineering,Building I,911,Partners Way,35.7716252,-78.67512817,0000FRR22478062920000055,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,70,RMonMR1,39,,,,,,,,,,,,,,,,,,,,,,,,
